Datetime,Tweet Id,original_text,geo,retweet_count,reply_count,like_count
2022-03-10 11:09:17+00:00,1501877848239636483,"🇺🇸🇺🇸🇺🇸🇺🇦🇺🇦🇺🇦🇺🇸🇺🇸🇺🇸🇷🇺🇷🇺🇷🇺
""Among the viruses the Lab studied were Ebola and viruses of Pathogenicity Group 2""
""Can you just tell us the Truth, is it a Bioweapons Lab in Ukraine or isn't it?""

@dbongino #Ukraine #UkraineRussianWar #biolab https://t.co/lAZqbKuP9l",,4,0,2
2022-03-10 10:47:03+00:00,1501872255063764994,"Ebola: What Everyone Needs to Know - Prepare and Protect Yourself and... by Sheppard, Mark https://t.co/V8ZX1SuDqb #NonFiction #freebook",,0,0,0
2022-03-10 10:37:08+00:00,1501869759473795075,"In the same lab they stored Ebola, swine flu and Zika lol https://t.co/BaCu3iqawV",,1,0,1
2022-03-10 10:21:36+00:00,1501865851036725249,"If I see a story on RT tomorrow that the Russian government has announced that they’ve discovered secret “gain of function” research labs for Ebola, I’m going to be very mad at them for being predictable. https://t.co/YhsFmObGX2",{'place_id': '3b77caf94bfc81fe'},0,1,1
2022-03-10 10:17:34+00:00,1501864832609390593,"Ebola crisis rekindles concerns about secret research in Russian military labs - The Washington Post (2014)

So many Russian scientists have died after being exposed to nasty military biological or chemical weapons they were working with. https://t.co/LoexCiVhBC",,0,1,0
2022-03-10 09:49:12+00:00,1501857697775644672,What exactly is the Marburg Virus: Marburg Symptoms vs Ebola Symptoms https://t.co/dKOnYRoPY6 via @YouTube,,0,0,0
2022-03-10 09:47:25+00:00,1501857248297230336,"เอกสารเริ่มหลุดออกมาเรื่อยๆสำหรับ ห้องปฏิบัติการชีวภาพของUS ใน UKR
Ebola, Lassa, pestilence, amongst others that are categorized as viruses with biosafety level 4, because of their high mortality, high transmissibility and the lack of effective vaccines and therapeutic measures. https://t.co/ZKo316zogP",,42,1,58
2022-03-10 09:45:43+00:00,1501856820167680001,"How do we make sure community perspectives are embedded in outbreak response decision making?

👇🏼Read our article on the DRC Ebola outbreak to find out

@gillianleemckay @EvaErlach @ombaggio @ifrc @LSHTM_Crises @SSHAP_action https://t.co/xAKuOTPmJA",,2,0,3
2022-03-10 09:38:18+00:00,1501854953387790339,"Do we still need the National Aids Commission or it should now transition into a pandemic diseases management centre? In that regard, it can work as a pandemic diseases control centre, pandemics donor funds management and disbursement centre? Examples Covid-19, Ebola. Polio, etc.",,0,6,33
2022-03-10 09:36:17+00:00,1501854444929286144,"This what is in the US biolabs in Ukraine 👀 

Ebola, Lassa, pestilence, amongst others that are categorized as viruses with biosafety level 4, because of their high mortality, high transmissibility and the lack of effective vaccines and therapeutic measures. https://t.co/PF6s28WTkU",,53,0,78
2022-03-10 09:12:16+00:00,1501848401218097155,When I was 12 I had a youth pastor who emphatically warned us against the evils that lurked in films and other media. I’d like to think that Ebola Syndrome is what inspired his nervous little sermons. Thanks @VinegarSyndrome for the wild ride. I’m going to go shower now.,,0,0,0
