Datetime,Tweet Id,original_text,geo,retweet_count,reply_count,like_count,author_id,context_annotations
2022-07-14 07:02:59+00:00,1547476735934996481,"Expert team investigates deadly mystery illness in Tanzania

Has tested negative for both Ebola and Marburg... 

https://t.co/lxkiWaG8YC",,1,0,1,1071890635462975490,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-07-14 06:57:18+00:00,1547475307426357250,"Think About This
“Many died through Ebola and Covid-19 but you are still alive. What made you survived it?”

If it’s God, RETWEET okay",,27,3,35,774858750356316160,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-07-14 06:52:14+00:00,1547474029736599554,"Tanzania is investigating an unknown illness in the south of the country that has killed three people. In total 13 cases have been reported in Lindi region, with patients having symptoms similar to Ebola or Marburg.",,1,0,0,2999388117,[]
2022-07-14 06:47:13+00:00,1547472769138425856,So glad we're done with that ebola stuff am I right guys,,0,0,1,1252376437472010240,[]
2022-07-14 06:43:56+00:00,1547471943217156096,"#NEWS TESTS of samples collected from patients suffering from the yet-to-be-identified disease in Lindi Region have turned negative for Ebola, Marburg and Covid-19 that were the authorities’ top suspects./ https://t.co/gu3gcDDCq8 https://t.co/6X2ssnfWV1",,1,0,3,3190408516,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1219057585707315201', 'name': 'COVID-19: Latest news updates from around the world', 'description': 'This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts, journalists, health authorities and other trusted sources from around the world. For more on COVID-19, visit: twitter.com/explore/tabs/covid-19'}}]"
2022-07-14 06:39:10+00:00,1547470743088160768,"Hi @AlanBixter 👋,

Say we had the same approach to COVID as they did with Ebola a few years ago. Would it have been ‘sorted’ or have slower progression with variants etc?",,0,0,0,773161356,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-07-14 06:33:44+00:00,1547469375006859264,Whoa! Did you know:  The Ebola virus kills 4 out of every 5 humans it infects. @ScienceBotikus,,0,0,0,1453327060634673156,[]
2022-07-14 06:31:07+00:00,1547468715616509952,"Tanzania is investigating an unknown illness ,has killed 3 https://t.co/WRsDwudifb 13 cases have been reported with symptoms similar to Ebola or Marburg ie fever, severe headaches, fatigue &amp; bleeding, especially from the nose.
But preliminary lab tests negative for both virus.",,1,0,1,1096416028114984960,[]
2022-07-14 06:27:05+00:00,1547467702775812099,It really isn't it's a choice between Ebola or the Plague https://t.co/fmP2awZUzI,,0,0,1,985802389105135616,[]
2022-07-14 06:26:37+00:00,1547467586647912449,"Not Ebola or Marburg… oh, lovely… https://t.co/YAJc1saA0T",,0,1,2,1381635346815873032,[]
2022-07-14 06:13:57+00:00,1547464396158472194,"WATCHING—3 people have died and 13 patients affected by a new unknown illness in Tanzania with nosebleed hemorrhagic fever symptoms akin to Ebola and Marburg—but lab tests have ruled out each of these viruses. If this is a new virus—then it is worrisome.👀
https://t.co/zzEclnaSQu https://t.co/X0Z27uhDxS",,394,49,941,18831926,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1451358585376575499', 'name': 'NZ roadmap'}}]"
2022-07-14 05:49:54+00:00,1547458344415162373,"Extraterrestrials Aliens are frustrated with life.  They take their shit out on everybody.  IE, foot binding in China.  Cut off clitoris with Black and Ebola in Africa.  Religious wars in Ireland.  Abductions and AIDS in America. Mutilation with Swedes. Bubonic plague in England.",,0,0,0,1003873366334320640,[]
