Datetime,Tweet Id,original_text,geo,retweet_count,reply_count,like_count,author_id,context_annotations
2022-07-28 07:11:14+00:00,1552552244767342592,"Show you've learned the lessons of #HIV, #COVID, #Ebola and medical apartheid, @SecBecerra. Share the U.S. stockpile with the world, and put #African countries battling #MPX with no commodities, first in the queue for vaccines, tests, treatment. #AIDS2022 https://t.co/90sKsJCaSG https://t.co/Yiy3R0XX4M",,0,0,0,2694918193,"[{'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1486086076791803906', 'name': 'Commodities'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1219057585707315201', 'name': 'COVID-19: Latest news updates from around the world', 'description': 'This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts, journalists, health authorities and other trusted sources from around the world. For more on COVID-19, visit: twitter.com/explore/tabs/covid-19'}}]"
2022-07-28 07:02:45+00:00,1552550107429515264,"Ebola had a 40% death rate and killed a total of 11,325 worldwide between 2014-2016.

Covid-19 has a less than 5% death rate and has, to date, killed 6.39 Million worldwide.

The difference? Covid is just better at infecting people.",,0,0,0,2944727236,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1219057585707315201', 'name': 'COVID-19: Latest news updates from around the world', 'description': 'This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts, journalists, health authorities and other trusted sources from around the world. For more on COVID-19, visit: twitter.com/explore/tabs/covid-19'}}]"
2022-07-28 06:47:50+00:00,1552546356547309569,"How about the Spanish Flu? holocaust? Black Death? Ebola? Monkey Pox?
WW1, WW2? https://t.co/DujgIlkh5j",,0,0,0,1163626074426638336,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1219057585707315201', 'name': 'COVID-19: Latest news updates from around the world', 'description': 'This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts, journalists, health authorities and other trusted sources from around the world. For more on COVID-19, visit: twitter.com/explore/tabs/covid-19'}}]"
2022-07-28 06:28:53+00:00,1552541587074195456,"ebola 
covid 
monkey pox 
now Marburg virus 
 tf is going on bro",,0,0,0,974606183561445376,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1219057585707315201', 'name': 'COVID-19: Latest news updates from around the world', 'description': 'This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts, journalists, health authorities and other trusted sources from around the world. For more on COVID-19, visit: twitter.com/explore/tabs/covid-19'}}]"
2022-07-28 06:20:57+00:00,1552539587087589376,"Now I understand what she meant.

Let's just be friends...remotely...forever!
https://t.co/xI8da0ZvA3",,0,0,0,1479920284681621511,[]
2022-07-28 06:13:59+00:00,1552537836859314178,"SARS-2, Monkeypox, Ebola, Marburg: Seven Months Into 2022, What's Happening? - https://t.co/UGZgXSDCSb #GoogleAlerts 

The complacency by health and concerned research authorities can become serious threat to Indian population. Jaagathe Raho!!!",,0,1,0,2892485468,[]
2022-07-28 06:08:23+00:00,1552536428642414592,It's like the viruses are competing out here. Monkey pox. Covid. Rat fever. Now Ebola.,,2,1,2,251091333,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-07-28 06:00:01+00:00,1552534319935041536,"Ebola like Marburg virus outbreak was reported in Ghana. 

@NaveenSankarS #health #news #today #Trending #Now #SouthAfrica #Somalia #Peru #Nepal #Malaysia #Latvia #Indonesia #Canada #usa https://t.co/IhBf8UL5kv",,1,0,0,951498876170760193,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1484601166080081920', 'name': 'Russo-Ukrainian conflict'}}]"
2022-07-28 05:57:44+00:00,1552533747270139904,"So we got the vid, the pox, and now Ebola trying to make a comeback. I quit 🫠 https://t.co/GP9DklgVdz",,0,0,0,1475583277465546755,[]
2022-07-28 05:43:26+00:00,1552530147000995840,"Two people have died in Ghana from the Marburg virus, a highly infectious disease in the same family as Ebola, for which no treatment yet exists. It is the first declared outbreak of Marburg virus in the country, and the the second in west Africa after Guinea confirmed a case",{'place_id': '1ea588c12abd39d7'},0,0,0,16604813,[]
2022-07-28 05:39:19+00:00,1552529113587621889,"Eating less food from animal sources is key to reducing the risk of wildlife-origin diseases and global warming - Devastating pandemics like HIV/AIDS, Ebola and COVID-19 are likely to have originated in wildlife https://t.co/N6oL1VnWyv https://t.co/Gu92FfZNa8",,4,4,7,16735210,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '825047692124442624', 'name': 'Food', 'description': 'Food'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1006277774384828416', 'name': 'Food experience', 'description': 'Conversation about eating'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-07-28 05:33:50+00:00,1552527733883695104,"Remember when LNP closed our world class infectious diseases labs because there’d be no more pandemics, &amp; private enterprise would handle outbreaks better than govts anyway?
Ebola
MERS
SARS
Zika
Dengue
Covid
Marburg
Diphtheria
Monkey pox

How do those decisions 👀 now?
#auspol https://t.co/4tY4mcSedO",{'place_id': '6635b2fcebd13c64'},2,0,2,269815420,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1514213975398920196', 'name': 'Australian Federal Election 2022'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1219057585707315201', 'name': 'COVID-19: Latest news updates from around the world', 'description': 'This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts, journalists, health authorities and other trusted sources from around the world. For more on COVID-19, visit: twitter.com/explore/tabs/covid-19'}}]"
2022-07-28 05:19:58+00:00,1552524242972905474,Tom Brady the Great died from Ebola in 300 AD.,,0,0,0,4893877534,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '768503359732985856', 'name': 'Tom Brady', 'description': 'Tom Brady'}}, {'domain': {'id': '60', 'name': 'Athlete', 'description': 'An athlete in the world, like Serena Williams or Lionel Messi'}, 'entity': {'id': '768503359732985856', 'name': 'Tom Brady', 'description': 'Tom Brady'}}]"
2022-07-28 05:19:55+00:00,1552524230142709760,"Breaking: the 🇳🇬 Senator’s set to impeach president Buahri due to insecurity and I asked; why now?
What took them so long?

Or is it cos it has finally gotten to them, as Abuja is surrounded by the Fulanis terrorist/Boko haram just like Ebola?",,0,0,0,1485137575966879744,[]
2022-07-28 05:10:42+00:00,1552521909912338435,I think we should definitely be treating Monkeypox like Ebola 🥲,,0,0,0,1034276681496834049,[]
2022-07-28 05:09:00+00:00,1552521482798080001,"WHO declares Marburg virus outbreak in West Africa, almost as deadly as Ebola - #news #who #marburg #ebola #outbreak #health #ghana #virus #africa https://t.co/ap6fdnH4AZ",,0,0,0,9019142,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-07-28 05:01:14+00:00,1552519526381588481,"Putin wants to increase their bargaining counters If the CCP and Russia team up with Iran, Turkey, and North Korea
#Bitcoin #AmericaFirst  #TheBible #Racists #Trump #SARSCoV2  #MAGA  #Godless #truthsocial   #monkeypox #GENZ #Ford #Cobra #Ebola #Antifa
https://t.co/gcep6q1Zua",,0,0,0,1414877799920197636,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': '45th US President, Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': '45th US President, Donald Trump'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781972125171060736', 'name': 'Auto'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781972125179518977', 'name': 'Auto Manufacturer'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026287953', 'name': 'Ford'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1007360414114435072', 'name': 'Bitcoin cryptocurrency', 'description': 'Bitcoin Cryptocurrency'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1484601166080081920', 'name': 'Russo-Ukrainian conflict'}}, {'domain': {'id': '174', 'name': 'Digital Assets & Crypto', 'description': 'For cryptocurrency entities'}, 'entity': {'id': '1007360414114435072', 'name': 'Bitcoin cryptocurrency', 'description': 'Bitcoin Cryptocurrency'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '864931126132985856', 'name': 'Vladimir Putin', 'description': 'President of Russia Vladimir Putin'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '864931126132985856', 'name': 'Vladimir Putin', 'description': 'President of Russia Vladimir Putin'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781972125171060736', 'name': 'Auto'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781972125179518977', 'name': 'Auto Manufacturer'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026287953', 'name': 'Ford'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10046942598', 'name': 'Ford Latino'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1539039621329190913', 'name': 'Prebunk Trigger Misinformation: Ukraine War', 'description': 'This page tracks conversations related to KGO misinformation and disinformation narratives surrounding the war in Ukraine. '}}]"
2022-07-28 04:58:13+00:00,1552518769804599296,"Marburg, polio and probably ebola in the next 10 years. 

Couple of books worth reading 

The Hot Zone by Richard Preston 
Spillover by David Quammen",,0,0,0,1170800534313476103,[]
2022-07-28 04:57:47+00:00,1552518661465858049,"Do they not know how dangerous this is? Did they not learn from HIV, EBOLA AND COVID-19? https://t.co/qZRbPqIYsA",,0,1,0,1388024434586529793,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-07-28 04:57:46+00:00,1552518653303668739,"BREAKING NEWS: Reports that people in America don’t seem strange wearing a mask but are trying to stop Ebola forming from covid to save “children’s life’s’”
People were concerned that the death of a child in the middle of an asphalt street seemed horrible.",,0,0,0,1502141509956775937,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1219057585707315201', 'name': 'COVID-19: Latest news updates from around the world', 'description': 'This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts, journalists, health authorities and other trusted sources from around the world. For more on COVID-19, visit: twitter.com/explore/tabs/covid-19'}}]"
2022-07-28 04:54:39+00:00,1552517870755758081,"Good morning &amp; congratulations on surviving AIDS, bird flu, mad cow disease, ebola, acid rain &amp; the cold war.
Hope you survive #COVID19 , #GlobalCrisis , #ClimateBreakdown &amp; the dreaded #monkeypox too.
Brace yourself for Summer 2023 &amp; the deadly drought!",,0,1,0,2474889544,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-07-28 04:50:00+00:00,1552516699609513988,"Ebola-like Marburg virus outbreak reported in Ghana. 

#health #news #today #Trending #Now #Africa #AGHealth #Jogmate #Algeria #Nigeria #SouthAfrica #Madagascar #nursetwitter https://t.co/aKGpPWMHs2",,1,0,1,951498876170760193,[]
2022-07-28 04:45:20+00:00,1552515527612014592,You could give a cockroach Ebola and they would survive it. https://t.co/wocyyEwXXY,,0,0,0,1487729472556175360,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '871795678447456256', 'name': 'The White House', 'description': 'Conversation from and about the White House, both as a destination and as political voice'}}]"
2022-07-28 04:38:39+00:00,1552513845687685120,"What ever happened to that Ebola Vaccine Russia was suppose to produce 

MUH Sergei Millian https://t.co/1gPGFCZ7ux",,0,0,0,1540054813551071237,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1484601166080081920', 'name': 'Russo-Ukrainian conflict'}}]"
2022-07-28 04:37:28+00:00,1552513546088505346,The deadly Marburg virus—a close cousin of Ebola—reemerges in Ghana https://t.co/oUA5rXre7c,,0,0,0,2948520401,[]
2022-07-28 04:33:05+00:00,1552512441703190528,"So a big plus about covid turning into Ebola….
If you pressurize the blood to the heart allowing better marrow through the bones to crystallize bones to clear and allowing a few other steers to take place this will allow foam to form in the soft tissues. And thus

CTR_classious",,0,1,0,1502141509956775937,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-07-28 04:20:14+00:00,1552509209446649856,"Airborne Ebola Drill United States 

Department of Defense conduct Ebola hazard modeling and gain a understanding of the risk for airborne transmission of Ebola and how Ebola may impact health workers.  

https://t.co/u3zF2GQCym  

#ebola #marburg @RevolverNewsUSA  @staceydash",,0,0,0,1552129490804957185,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-07-28 04:19:01+00:00,1552508904185249792,"What the holy hell? In 2014 there was an Ebola outbreak in Sierra Leone. The country ordered a full “Ebola lockdown,” essentially adopting the failed Chinese model to stop a pandemic by shutting down everything. It didn’t work, which most epidemiologists at the time would predict",,33,4,61,987088394240122887,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-07-28 04:18:46+00:00,1552508841828425728,It’s time for us to worry less and accept that this current generation life options are challenging and will continue to be; but then again so were the generations before ours  and beyond them. Live your Life #MarburgVirus #Ebola https://t.co/J4fcQdxvMY,,0,0,0,362492835,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '889601990744915968', 'name': 'The Who', 'description': 'The Who'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '889601990744915968', 'name': 'The Who', 'description': 'The Who'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '806571747730341888', 'name': 'Rock', 'description': 'Rock'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-07-28 04:16:03+00:00,1552508158223990784,"NEW BIO LAB IN TEXAS  BREAKS GROUND

New Monkey Disease Experiment Center Breaks Ground

Monkey housing complex will provide  housing for up to 2,000  monkeys in Texas 

https://t.co/6MP4fLfscC

#marburg #monkeypox  #ebola #NIH  @BNOFeed @RevolverNewsUSA  @Whatfingernews",,0,0,0,1552129490804957185,"[{'domain': {'id': '159', 'name': 'States', 'description': 'States, provinces, or prefectures, like California or Fukushima Prefecture'}, 'entity': {'id': '855432197297192961', 'name': 'Texas', 'description': 'Texas'}}]"
2022-07-28 04:13:45+00:00,1552507576511856642,"Bill and Gates Foundation Ebola Vaccine Study

Bill and Melinda Gates Foundation and by the Faucett Catalyst Fund, an FDA Medical Countermeasures Initiative contract and the National Institute of Allergy and Infectious Diseases.   

https://t.co/NT1iadWSuQ  

#BillGates  #marburg",,0,0,0,1552129490804957185,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1194290115972984833', 'name': 'Melinda Gates'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596157251587', 'name': 'Government/Education'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597226729473', 'name': 'Non-profit'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10046650630', 'name': 'Bill & Melinda Gates Foundation'}}]"
